Dieta	rep	ovos	larvas	survive	censor	total 
pulgao	cr1	94	76	30	0	1
pulgao	cr2	73	50	30	0	1 
pulgao	cr3	68	58	20	1	1 
pulgao	cr4	96	72	30	0	1 
pulgao	cr5	67	40	22	1	1 
pulgao	cr7	80	46	20	1	1 
pulgao	cr8	54	40	30	0	1 
pulgao	cr9	94	77	15	1	1 
pulgao	cr10	72	46	10	1	1 
pulgao	cr11	88	67	22	1	1 
pulgao	cr12	98	86	30	0	1 
pulgao	cr13	94	70	30	0	1 
pulgao	cr14	75	46	20	1	1 
pulgao	cr15	56	40	30	0	1 
pulgao	cr16	94	77	15	1	1
cochonilha	tt1	76	33	18	1	1 
cochonilha	tt2	78	16	30	0	1 
cochonilha	tt3	83	35	17	1	1 
cochonilha	tt4	42	13	30	0	1 
cochonilha	tt5	68	24	6	1	1 
cochonilha	tt6	87	37	25	1	1 
cochonilha	tt7	51	18	18	1	1 
cochonilha	tt8	62	16	16	1	1 
cochonilha	tt10	92	43	20	1	1 
cochonilha	tt11	77	26	12	1	1 
cochonilha	tt12	70	24	25	1	1 
cochonilha	tt13	48	16	18	1	1
cochonilha	tt14	91	37	25	1	1 
cochonilha	tt16	53	10	18	1	1 
cochonilha	tt17	78	23	16	1	1  
ovos	dz2	15	2	30	0	1 
ovos	dz3	12	0	17	1	1 
ovos	dz4	28	4	30	0	1 
ovos	dz5	32	2	30	0	1 
ovos	dz6	17	3	30	0	1 
ovos	dz7	31	2	30	0	1 
ovos	dz8	28	2	30	0	1 
ovos	dz9	22	0	13	1	1 
ovos	dz10	20	0	26	1	1 
ovos	dz11	26	3	21	1	1 
ovos	dz12	14	2	30	0	1 
ovos	dz13	12	3	30	0	1 
ovos	dz16	17	3	30	0	1 
ovos	dz17	33	2	30	0	1 
ovos	dz18	29	2	30	0	1 
