Alimento	rep	ovos	larvas	TMO	censor	survive	censor2	consumo	Temperatura
dieta1	cr1	99	76	37	0	40	0	2	26
dieta1	cr2	141	117	40	0	40	0	4	26
dieta1	cr3	108	80	38	0	40	0	4	26
dieta1	cr4	68	58	12	1	33	1	4	26
dieta1	cr5	96	72	40	0	40	0	4	26
dieta1	cr6	51	40	32	0	40	0	4	26
dieta1	cr7	55	46	12	1	40	0	2	26
dieta1	cr8	54	40	40	0	40	0	6	26
dieta1	cr9	94	77	25	1	40	0	2	26
dieta1	cr10	49	46	19	1	40	0	4	26
dieta1	cr11	88	67	32	0	40	0	2	26
dieta1	cr12	106	86	35	0	40	0	4	26
dieta1	cr13	125	108	40	0	40	0	4	26
dieta1	cr14	36	35	12	1	40	0	3	26
dieta1	cr15	31	26	18	1	40	0	3	26
dieta1	cr16	33	24	18	1	40	0	2	26
dieta2	tq1	119	80	39	0	40	0	2	24
dieta2	tq2	56	41	14	1	40	0	2	24
dieta2	tq3	95	64	36	0	40	0	2	24
dieta2	tq4	132	100	30	0	40	0	4	24
dieta2	tq5	74	43	39	0	40	0	2	24
dieta2	tq6	73	52	32	0	40	0	2	24
dieta2	tq7	26	8	38	0	40	0	1	24
dieta2	tq8	46	36	28	0	40	0	3	24
dieta2	tq9	29	17	30	0	40	0	1	24
dieta2	tq10	31	20	29	0	40	0	2	24
dieta2	tq11	23	16	26	1	32	1	1	24
dieta2	tq12	17	13	4	1	28	1	2	24
dieta2	tq13	30	21	26	1	26	1	2	24
dieta2	tq14	45	28	15	1	40	0	3	24
dieta2	tq15	55	36	22	1	40	0	3	24
dieta3	tt1	73	60	28	1	40	0	3	20
dieta3	tt2	43	32	38	0	40	0	3	20
dieta3	tt3	58	45	17	1	35	1	1	20
dieta3	tt4	52	33	17	1	40	0	2	20
dieta3	tt5	49	36	16	1	40	0	2	20
dieta3	tt6	42	30	35	0	40	0	2	20
dieta3	tt7	77	39	14	1	40	0	2	20
dieta3	tt8	60	49	34	0	40	0	2	20
dieta3	tt9	59	46	17	1	40	0	1	20
dieta3	tt10	51	36	35	0	40	0	3	20
dieta3	tt11	77	52	28	1	40	0	1	20
dieta3	tt12	21	12	16	1	40	0	2	20
dieta3	tt13	84	57	39	0	40	0	1	20
dieta3	tt14	67	57	12	1	40	0	2	20
dieta3	tt15	51	50	20	1	40	0	2	20
dieta3	tt16	77	57	22	1	40	0	1	20
dieta3	tt17	27	21	35	0	40	0	1	20
dieta3	tt18	74	60	28	1	40	0	1	20
dieta3	tt19	80	59	31	0	40	0	2	20
dieta4	dz1	111	78	40	0	40	0	1	18
dieta4	dz2	107	84	35	0	40	0	1	18
dieta4	dz3	80	51	40	0	40	0	1	18
dieta4	dz4	83	68	33	0	40	0	1	18
dieta4	dz5	84	73	40	0	40	0	1	18
dieta4	dz6	117	93	40	0	40	0	1	18
dieta4	dz7	129	112	40	0	40	0	1	18
dieta4	dz8	43	39	27	1	40	0	1	18
dieta4	dz9	134	105	40	0	40	0	1	18
dieta4	dz10	137	111	40	0	40	0	1	18
dieta4	dz11	127	99	40	0	40	0	2	18
dieta4	dz12	99	92	40	0	40	0	2	18
dieta4	dz13	107	81	32	0	40	0	1	18
dieta4	dz14	116	100	40	0	40	0	1	18
dieta4	dz15	92	77	40	0	40	0	1	18
dieta4	dz16	67	56	23	1	40	0	2	18
dieta4	dz17	110	85	36	0	40	0	2	18
dieta4	dz18	110	102	31	0	40	0	1	18
dieta4	dz19	66	46	17	1	40	0	1	18
dieta4	dz20	135	109	40	0	40	0	1	18
dieta5	ds1	59	33	24	1	40	0	2	16
dieta5	ds2	92	68	18	1	40	0	2	16
dieta5	ds3	40	17	17	1	40	0	2	16
dieta5	ds4	18	10	16	1	40	0	2	16
dieta5	ds5	75	47	18	1	40	0	2	16
dieta5	ds6	98	88	28	1	40	0	2	16
dieta5	ds7	97	74	24	1	40	0	2	16
dieta5	ds8	56	50	17	1	40	0	1	16
dieta5	ds9	79	73	23	1	40	0	2	16
dieta5	ds10	67	54	15	1	40	0	1	16
dieta5	ds11	36	35	12	1	40	0	1	16
dieta5	ds12	31	26	18	1	40	0	1	16
dieta5	ds13	33	24	18	1	40	0	1	16
dieta5	ds14	36	35	12	1	40	0	1	16
dieta5	ds15	31	26	18	1	40	0	1	16
dieta5	ds16	32	24	18	1	40	0	2	16
